id_usuario,razon_social,ruc,email_contacto,fecha_creacion
51711302,TEXTILERIA ALVARADO EIRL,20974004339245,contacto@textileriaalvarado.com,2004-12-20
15485911,ZAPATERIA GONZALES SA,20663162419429,contacto@zapateriagonzales.com,2012-06-08
24985043,MINERA RAMIREZ EIRL,20259433702509,contacto@mineraramirez.com,2008-01-01
60930525,MANUFACTURERA GONZALES SAA,20568464292856,contacto@manufactureragonzales.com,2002-08-31
54762146,SOLDADURIA RODRIGUEZ EIRL,20752135162857,contacto@soldaduriarodriguez.com,2002-08-19
67365238,CERVECERIA MARTINEZ SA,20848482397355,contacto@cerveceriamartinez.com,2012-08-22
81961317,DISTRIBUIDORA HERRERA SA,20458554747109,contacto@distribuidoraherrera.com,2000-11-25
54423881,CONSTRUCTORA GUTIERREZ SAA,20288662897069,contacto@constructoragutierrez.com,2002-06-17
30656678,PANADERIA GALARZA SAA,20127677458131,contacto@panaderiagalarza.com,2009-05-01
35251275,PANADERIA GONZALES SRL,20177711571529,contacto@panaderiagonzales.com,2012-10-01
79120764,CERVECERIA RODRIGUEZ SAC,20640983820585,contacto@cerveceriarodriguez.com,2011-11-18
44937361,MINERA GONZALES SAC,20654190358828,contacto@mineragonzales.com,2006-02-28
56736334,MINERA GAMARRA SAC,20689099566165,contacto@mineragamarra.com,2002-02-05
75343255,MINERA FIGUEROA SAA,20264494565835,contacto@minerafigueroa.com,2020-11-28
23469872,CONSTRUCTORA BERMUDEZ SRL,20127619163672,contacto@constructorabermudez.com,2017-12-21
43537144,SOLDADURIA PAREDES EIRL,20781449222160,contacto@soldaduriaparedes.com,2001-01-08
41487705,CONSTRUCTORA GONZALES SRL,20878223933611,contacto@constructoragonzales.com,2017-11-16
72714777,DISTRIBUIDORA RAMIREZ SRL,20953953753009,contacto@distribuidoraramirez.com,2012-06-16
38025170,DISTRIBUIDORA ALVARADO SRL,20484157896982,contacto@distribuidoraalvarado.com,2011-05-22
97408230,AUTOMOTRIZ GALARZA SAA,20203014921205,contacto@automotrizgalarza.com,2004-01-26
80163164,CONFECCIONES GAMARRA SA,20748482367735,contacto@confeccionesgamarra.com,2002-05-05
23469872,SOLDADURIA GUTIERREZ SRL,20924616166618,contacto@soldaduriagutierrez.com,2007-07-14
